iter	MAE
0	0.3425062633
1	0.3420777633
2	0.3418588365
3	0.3416541403
4	0.3413394372
5	0.3409084416
6	0.3404595691
7	0.3400956373
8	0.3394549924
9	0.3390717012
10	0.3385601615
11	0.338328548
12	0.3380025157
13	0.3376181313
14	0.3372044013
15	0.3368515266
16	0.3365323003
17	0.3362799399
18	0.3358252676
19	0.3356831852
20	0.3354256683
21	0.3352082851
22	0.3348117171
23	0.3345904872
24	0.3343005899
25	0.333984868
26	0.3335987387
27	0.3333096337
28	0.3329294375
29	0.332656002
30	0.3323587351
31	0.3320505745
32	0.3318072971
33	0.3315217638
34	0.3312135642
35	0.3307056061
36	0.3303861486
37	0.3301542733
38	0.3297763864
39	0.3293411171
40	0.3291048457
41	0.3285955494
42	0.3282053573
43	0.3278697723
44	0.3274552624
45	0.3271367307
46	0.3269767209
47	0.3266342979
48	0.3261948262
49	0.325932795
50	0.3256602851
51	0.3253717339
52	0.3250840821
53	0.3247707956
54	0.3244819272
55	0.32429451
56	0.324048523
57	0.3238687596
58	0.323629158
59	0.3232873388
60	0.3229781226
61	0.3226983481
62	0.3224289535
63	0.3220763002
64	0.3218474957
65	0.3215943049
66	0.3213268431
67	0.3210110752
68	0.3205739948
69	0.3203915322
70	0.3200767621
71	0.3197786393
72	0.3195065793
73	0.319174453
74	0.3190337262
75	0.3186910638
76	0.3184912754
77	0.3182633265
78	0.3179689656
79	0.3176753877
80	0.3172421434
81	0.3170223083
82	0.316564193
83	0.3163885213
84	0.3160921515
85	0.3158898078
86	0.3156204897
87	0.3153754838
88	0.3151473104
89	0.3149248325
90	0.3146735302
91	0.314493452
92	0.314334913
93	0.3141703956
94	0.3139115736
95	0.3136222609
96	0.3134504262
97	0.3132392899
98	0.3129674636
99	0.3128081391
100	0.312476447
101	0.3121460279
102	0.3118004095
103	0.3115774133
104	0.3113788489
105	0.3110719985
106	0.3108535684
107	0.3106513311
108	0.3104220809
109	0.3102282108
110	0.3098666795
111	0.3095745974
112	0.3093182839
113	0.3091125326
114	0.308902003
115	0.3085153593
116	0.308320838
