iter	Passed	Remaining
0	10	10895
1	22	11442
2	37	12300
3	52	13140
4	64	12904
5	76	12742
6	91	12956
7	108	13442
8	117	12963
9	128	12741
10	146	13170
11	159	13108
12	177	13497
13	185	13092
14	196	12904
15	205	12631
16	214	12397
17	222	12146
18	234	12118
19	249	12211
20	261	12212
21	271	12068
22	279	11884
23	289	11793
24	303	11851
25	323	12110
26	343	12379
27	358	12432
28	389	13035
29	400	12962
30	411	12871
31	420	12717
32	433	12707
33	448	12738
34	464	12810
35	477	12777
36	488	12717
37	497	12597
38	512	12630
39	525	12602
40	535	12518
41	545	12437
42	555	12359
43	568	12353
44	580	12309
45	592	12296
46	609	12362
47	621	12328
48	634	12314
49	654	12440
50	672	12518
51	689	12575
52	703	12573
53	717	12561
54	729	12542
55	745	12574
56	754	12481
57	765	12426
58	775	12368
59	784	12295
60	792	12194
61	799	12099
62	812	12084
63	824	12059
64	837	12047
65	851	12054
66	861	12000
67	888	12172
68	956	12909
69	995	13228
70	1026	13427
71	1041	13425
72	1053	13378
73	1063	13313
74	1082	13346
75	1098	13356
76	1113	13353
77	1123	13276
78	1130	13182
79	1141	13129
80	1152	13075
81	1158	12970
82	1169	12923
83	1179	12859
84	1187	12783
85	1193	12681
86	1201	12608
87	1210	12549
88	1218	12468
89	1227	12416
90	1243	12425
91	1251	12351
92	1265	12343
93	1277	12316
94	1287	12262
95	1301	12260
96	1313	12228
97	1320	12158
98	1332	12131
99	1342	12079
100	1349	12013
101	1363	12001
102	1371	11940
103	1378	11873
104	1387	11822
105	1398	11791
106	1408	11758
107	1415	11691
108	1428	11674
109	1436	11624
110	1444	11571
111	1452	11514
112	1465	11506
113	1474	11456
114	1482	11409
115	1493	11380
116	1501	11334
117	1510	11286
118	1519	11248
119	1526	11194
120	1535	11156
121	1542	11098
122	1550	11051
123	1561	11030
124	1569	10984
125	1577	10941
126	1589	10926
127	1598	10889
128	1607	10850
129	1618	10828
130	1623	10772
131	1635	10756
132	1648	10745
133	1656	10703
134	1666	10679
135	1675	10642
136	1686	10622
137	1694	10585
138	1703	10551
139	1714	10532
140	1723	10501
141	1733	10476
142	1740	10430
143	1754	10427
144	1765	10413
145	1768	10342
146	1781	10337
147	1790	10306
148	1799	10278
149	1809	10254
150	1817	10217
151	1828	10203
152	1840	10188
153	1848	10156
154	1859	10139
155	1868	10109
156	1879	10094
157	1889	10069
158	1897	10035
159	1910	10028
160	1917	9990
161	1926	9965
162	1932	9923
163	1944	9910
164	1950	9872
165	1959	9843
166	1966	9806
167	1978	9795
168	1986	9769
169	1995	9740
170	2005	9724
171	2011	9684
172	2023	9673
173	2031	9643
174	2045	9643
175	2056	9628
176	2068	9617
177	2075	9586
178	2087	9573
179	2097	9555
180	2106	9532
181	2114	9505
182	2123	9481
183	2135	9472
184	2143	9442
185	2155	9432
186	2168	9426
187	2176	9400
188	2186	9380
189	2194	9353
190	2204	9336
191	2214	9319
192	2222	9291
193	2236	9289
194	2248	9283
195	2261	9277
196	2273	9265
197	2283	9250
198	2296	9244
199	2304	9218
200	2313	9197
201	2324	9181
202	2332	9159
203	2344	9149
204	2352	9122
205	2365	9118
206	2375	9101
207	2382	9073
208	2395	9066
209	2403	9040
210	2411	9018
211	2418	8988
212	2430	8979
213	2441	8968
214	2453	8956
215	2462	8937
216	2473	8924
217	2484	8913
218	2493	8890
